ShopName,ShopID,Time,Tel,Address
拉CHA茶,1,,,
Mr.WISH,2,10:30-22:30,06-2088832,台南市東區育樂街52號
麻古茶坊,3,08:00-22:00,06-2002221,台南市東區大學路西段1號
鮮茶道,4,09:20-22:30,06-2388877,台南市東區育樂街156-2號
大苑子,5,10:00-22:30,06-2082238,台南市東區勝利路149號
